Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
12/26/20,AQS,60730001,1,11.5,ug/m3 LC,48,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
12/29/20,AQS,60730001,1,6.4,ug/m3 LC,27,Chula Vista,1,100,88101,PM2.5 - Local Conditions,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
1/1/20,AQS,60731006,1,3.1,ug/m3 LC,13,Alpine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.842318,-116.768293
1/2/20,AQS,60731006,1,3.8,ug/m3 LC,16,Alpine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.842318,-116.768293
1/3/20,AQS,60731006,1,2.1,ug/m3 LC,9,Alpine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.842318,-116.768293
1/4/20,AQS,60731006,1,4.3,ug/m3 LC,18,Alpine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.842318,-116.768293
1/5/20,AQS,60731006,1,4.5,ug/m3 LC,19,Alpine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.842318,-116.768293
1/6/20,AQS,60731006,1,0.9,ug/m3 LC,4,Alpine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.842318,-116.768293
1/7/20,AQS,60731006,1,1.6,ug/m3 LC,7,Alpine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.842318,-116.768293
1/8/20,AQS,60731006,1,4.3,ug/m3 LC,18,Alpine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.842318,-116.768293
1/9/20,AQS,60731006,1,4,ug/m3 LC,17,Alpine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.842318,-116.768293
1/10/20,AQS,60731006,1,3.4,ug/m3 LC,14,Alpine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.842318,-116.768293
1/11/20,AQS,60731006,1,4.5,ug/m3 LC,19,Alpine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.842318,-116.768293
1/12/20,AQS,60731006,1,4.8,ug/m3 LC,20,Alpine,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.842318,-116.768293
