Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
7/1/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/2/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/3/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/4/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/5/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/6/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/7/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/8/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/9/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/10/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/11/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/12/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/13/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/14/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/15/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/16/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/17/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/18/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/19/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/20/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/21/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/22/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/23/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/24/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/25/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/26/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/27/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/28/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/29/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,17,71,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
7/30/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
